scene,japanese,english,hint,level,pronunciation_difficulty,grammar_tags
greeting,おはようございます。,Good morning again.,朝の基本あいさつ,intermediate,easy,greeting|present-simple
greeting,今日はお元気ですか。,How are you doing today?,相手の調子を聞く,beginner,easy,how-question|greeting
greeting,また明日お会いしましょう。,See you tomorrow today.,別れ際の表現,beginner,easy,future-time|greeting
greeting,お待たせしてすみません。,"Sorry to keep you waiting, please.",遅れた時に謝る,intermediate,easy,sorry-to|gerund
greeting,来てくれてありがとうございます。,Thank you for coming now.,感謝を伝える,beginner,easy,thank-you|gerund
greeting,良い一日をお過ごしください。,Have a nice day slowly.,別れ際の一言,intermediate,easy,imperative|greeting
greeting,またお話しできてうれしいです。,It is nice to talk with you again with me.,再会時の表現,intermediate,normal,it-is|infinitive
greeting,お気をつけてお帰りください。,Please get home safely one more time.,相手を気遣う,beginner,normal,please|adverb
greeting,少し時間がありますか。,Do you have a minute?,話しかける時の表現,beginner,easy,do-question|smalltalk
greeting,ご連絡ありがとうございます。,Thank you for your message this morning.,連絡への感謝,beginner,normal,thank-you|possessive
self_introduction,私は東京で働いています。,I work in Tokyo again.,勤務場所を伝える,intermediate,easy,present-simple|self-introduction
self_introduction,営業チームに所属しています。,I am on the sales team clearly.,所属を伝える,beginner,easy,be-verb|preposition
self_introduction,英語を毎日勉強しています。,I study English every day today.,習慣を伝える,beginner,easy,present-simple|frequency
self_introduction,この会社で三年働いています。,"I have worked here for three years, please.",経験年数を伝える,intermediate,normal,present-perfect|for
self_introduction,趣味は料理です。,My hobby is cooking now.,趣味を伝える,beginner,easy,be-verb|gerund
self_introduction,週末はよく映画を見ます。,I often watch movies on weekends slowly.,頻度を伝える,intermediate,normal,adverb-frequency|present-simple
self_introduction,新しいプロジェクトを担当しています。,I am working on a new project with me.,担当業務を話す,intermediate,normal,present-continuous|work-on
self_introduction,大阪出身です。,I am from Osaka one more time.,出身を伝える,beginner,easy,be-from|self-introduction
self_introduction,どうぞよろしくお願いします。,It is nice to meet you after lunch.,初対面のあいさつ,beginner,normal,it-is|greeting
self_introduction,人事部で働いています。,I work in human resources this morning.,部署を伝える,beginner,normal,present-simple|department
cafe,コーヒーを一つください。,May I have a coffee?,飲み物を注文する,intermediate,easy,could|ordering
cafe,店内で飲みます。,"For here, please clearly.",店内利用を伝える,beginner,easy,ellipsis|cafe
cafe,持ち帰りでお願いします。,"To go, please today.",持ち帰りを伝える,beginner,easy,ellipsis|cafe
cafe,砂糖は入れないでください。,"No sugar, please, please.",好みを伝える,beginner,easy,negative|ordering
cafe,おすすめは何ですか。,What would you recommend?,おすすめを聞く,beginner,easy,what-question|recommend
cafe,席は空いていますか。,Could this be seat available?,席を確認する,intermediate,easy,be-verb|available
cafe,温かい紅茶をください。,May I have a hot tea?,丁寧に注文する,beginner,easy,could|ordering
