scene,japanese,english,hint,level,pronunciation_difficulty,grammar_tags
greeting,こんにちは。予約をしています。,"Hello, I have a reservation.",受付や店で最初に伝える表現,beginner,easy,greeting|reservation|present-simple
greeting,すみません、少し手伝っていただけますか。,"Excuse me, could you help me for a moment?",丁寧に助けを求める表現,beginner,normal,request|could-you|travel-help
greeting,英語があまり得意ではありません。,"I do not speak English very well.",会話の最初に自分の英語力を伝える表現,beginner,normal,self-disclosure|present-simple
greeting,もう少しゆっくり話していただけますか。,"Could you speak a little more slowly?",聞き取れない時に使う丁寧な依頼,beginner,normal,request|could-you|adverbs
greeting,もう一度言っていただけますか。,"Could you say that again?",聞き返す時の定番表現,beginner,easy,request|could-you|listening
greeting,ありがとうございます。助かりました。,"Thank you, that was very helpful.",助けてもらった後に自然に言う表現,beginner,easy,thanks|past-simple
greeting,ここは初めてです。,"This is my first time here.",初訪問であることを伝える表現,beginner,easy,present-simple|travel
greeting,よい一日を。,"Have a nice day.",別れ際の自然な挨拶,beginner,easy,greeting|set-phrase
self_introduction,私は日本から来ました。,"I am from Japan.",出身地を伝える基本表現,beginner,easy,self-introduction|be-verb
self_introduction,観光で来ています。,"I am here for sightseeing.",旅行目的を簡潔に伝える表現,beginner,easy,purpose|present-continuous
self_introduction,一週間滞在します。,"I will stay for one week.",滞在期間を伝える表現,beginner,easy,future|travel
self_introduction,友人と一緒に旅行しています。,"I am traveling with my friend.",同行者を伝える表現,beginner,normal,present-continuous|with
self_introduction,家族と一緒に来ました。,"I came here with my family.",家族旅行で使える表現,beginner,easy,past-simple|with
self_introduction,仕事ではなく休暇で来ました。,"I am here on vacation, not for work.",旅行目的を補足して伝える表現,beginner,normal,contrast|vacation
self_introduction,この街に二泊します。,"I will stay in this city for two nights.",宿泊日数を伝える表現,beginner,normal,future|duration
self_introduction,おすすめの場所を探しています。,"I am looking for recommended places.",おすすめを聞く前置きに使える表現,beginner,normal,present-continuous|recommendations
airport,チェックインはどこですか。,"Where is the check-in counter?",空港でカウンターを探す表現,beginner,easy,where|airport
airport,この便にチェックインしたいです。,"I would like to check in for this flight.",搭乗手続きで使う丁寧な表現,beginner,normal,would-like|airport
airport,パスポートはこちらです。,"Here is my passport.",書類を渡す時の表現,beginner,easy,documents|airport
airport,預ける荷物が一つあります。,"I have one bag to check.",受託手荷物があることを伝える表現,beginner,normal,baggage|have
airport,機内持ち込みの荷物だけです。,"I only have carry-on luggage.",預け荷物がない時に使う表現,beginner,normal,baggage|only
airport,窓側の席をお願いできますか。,"Could I have a window seat?",座席希望を丁寧に伝える表現,beginner,normal,could-i|seat-request
airport,通路側の席は空いていますか。,"Is an aisle seat available?",通路側席があるか尋ねる表現,beginner,normal,availability|airport
airport,搭乗口はどこですか。,"Where is the boarding gate?",ゲートを探す時の表現,beginner,easy,where|airport
airport,搭乗は何時に始まりますか。,"What time does boarding start?",搭乗開始時刻を尋ねる表現,beginner,normal,time|present-simple
airport,この便は遅れていますか。,"Is this flight delayed?",遅延確認に使う表現,beginner,easy,flight|be-verb
