scene,japanese,english,hint,level,pronunciation_difficulty,grammar_tags
greeting,こんにちは。,Hello.,基本の挨拶,beginner,easy,greeting|present-simple
greeting,おはようございます。,Good morning.,朝の挨拶,beginner,easy,greeting
greeting,こんばんは。,Good evening.,夜の挨拶,beginner,easy,greeting
greeting,お会いできてうれしいです。,Nice to meet you.,初対面,beginner,easy,greeting|set-phrase
greeting,またお会いできてうれしいです。,Nice to see you again.,再会の挨拶,beginner,easy,greeting
greeting,元気ですか？,How are you?,調子を聞く,beginner,easy,question|greeting
greeting,元気です。ありがとう。,I am good thank you.,返答,beginner,easy,response|present-simple
greeting,まあまあです。,I am doing okay.,自然な返答,beginner,normal,response|present-continuous
greeting,調子はどうですか？,How is it going?,カジュアルな挨拶,beginner,normal,question|greeting
greeting,いい感じです。,It is going well.,返答,beginner,normal,response
greeting,今日はどうですか？,How are you today?,今日の調子,beginner,easy,question
greeting,お久しぶりです。,Long time no see.,久しぶり,beginner,normal,set-phrase
greeting,最近どうですか？,How have you been?,近況を聞く,intermediate,normal,present-perfect|question
greeting,こちらこそお会いできてうれしいです。,It is nice to meet you too.,返答,beginner,normal,response
greeting,よろしくお願いします。,I look forward to working with you.,仕事で使う,intermediate,normal,business|future
greeting,先に失礼します。,I will head out now.,別れの挨拶,intermediate,normal,future|leaving
greeting,良い一日を。,Have a nice day.,別れ際,beginner,easy,set-phrase
greeting,良い週末を。,Have a great weekend.,週末前,beginner,easy,set-phrase
greeting,また明日。,See you tomorrow.,別れ際,beginner,easy,future
greeting,また後で。,See you later.,カジュアル,beginner,easy,set-phrase
greeting,お先にどうぞ。,After you.,譲る表現,beginner,easy,set-phrase
greeting,お疲れさまでした。,Thanks for your hard work.,仕事終わり,intermediate,normal,thanks
greeting,今日は来てくれてありがとう。,Thanks for coming today.,感謝,beginner,normal,thanks|gerund
greeting,連絡できてよかったです。,It is good to hear from you.,連絡への返答,intermediate,normal,set-phrase
greeting,お名前を伺ってもいいですか？,May I have your name?,丁寧に聞く,beginner,normal,polite|question
greeting,お元気そうですね。,You look well.,相手の様子,beginner,easy,present-simple
greeting,今日は寒いですね。,It is cold today.,天気の話題,beginner,easy,weather|smalltalk
greeting,来てくれてうれしいです。,I am glad you came.,歓迎,intermediate,normal,past-simple
greeting,またすぐ会いましょう。,Let us meet again soon.,別れ際,intermediate,normal,suggestion
greeting,安全に帰ってください。,Get home safely.,別れ際,beginner,normal,imperative
self_introduction,私はタカです。,I am Taka.,名前を言う,beginner,easy,self-introduction|present-simple
self_introduction,日本出身です。,I am from Japan.,出身,beginner,easy,self-introduction
self_introduction,東京に住んでいます。,I live in Tokyo.,住んでいる場所,beginner,easy,present-simple
self_introduction,英語を勉強しています。,I am studying English.,学習中,beginner,normal,present-continuous
self_introduction,会社員です。,I work at a company.,仕事,beginner,easy,work|present-simple
self_introduction,大学生です。,I am a university student.,身分,beginner,normal,self-introduction
self_introduction,趣味は映画を見ることです。,My hobby is watching movies.,趣味,beginner,normal,gerund
self_introduction,週末はよく料理をします。,I often cook on weekends.,習慣,beginner,normal,adverb-frequency
self_introduction,旅行が好きです。,I like traveling.,好み,beginner,easy,like|gerund
self_introduction,犬を飼っています。,I have a dog.,所有,beginner,easy,have
self_introduction,家族は4人です。,There are four people in my family.,家族,beginner,normal,there-is
self_introduction,兄が一人います。,I have one older brother.,家族,beginner,normal,have
self_introduction,仕事では営業をしています。,I work in sales.,仕事,beginner,normal,work
self_introduction,IT業界で働いています。,I work in the IT industry.,仕事,intermediate,normal,work
self_introduction,英語はまだ勉強中です。,I am still learning English.,謙遜,beginner,normal,present-continuous
self_introduction,少しだけ英語を話せます。,I can speak a little English.,能力,beginner,easy,can
self_introduction,新しい人に会うのが好きです。,I like meeting new people.,好み,intermediate,normal,gerund
self_introduction,コーヒーが大好きです。,I really love coffee.,好み,beginner,easy,like
self_introduction,最近ランニングを始めました。,I recently started running.,近況,intermediate,normal,past-simple|gerund
self_introduction,普段は電車で通勤しています。,I usually commute by train.,日課,intermediate,normal,adverb-frequency
self_introduction,今日は自己紹介をします。,I will introduce myself today.,導入,beginner,normal,future
self_introduction,私の名前はユミです。,My name is Yumi.,名前,beginner,easy,self-introduction
self_introduction,京都で生まれました。,I was born in Kyoto.,出生,intermediate,normal,passive
self_introduction,大阪で育ちました。,I grew up in Osaka.,育ち,intermediate,normal,past-simple
self_introduction,今は一人暮らしです。,I live by myself now.,暮らし,beginner,normal,present-simple
self_introduction,音楽を聴くのが好きです。,I enjoy listening to music.,趣味,beginner,normal,gerund
self_introduction,週に二回ジムに行きます。,I go to the gym twice a week.,頻度,beginner,normal,frequency
self_introduction,人と話すのが好きです。,I enjoy talking with people.,性格,beginner,normal,gerund
self_introduction,英語を使う仕事がしたいです。,I want to work in English.,目標,intermediate,normal,want-to
self_introduction,どうぞよろしくお願いします。,It is nice to meet everyone.,締め,beginner,normal,greeting
