part,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,difficulty,tags
part2,Where is the budget file?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,intermediate,part2|where
part2,When does the client call start?,At 9:00 a.m.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the training session?,Aiko will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the office tour?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,intermediate,part2|how
part2,Why was the printer repair delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the hotel booking?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the sales report start?,This afternoon.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",intermediate,part2|when
part2,Who will handle the flight update?,Emma will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the team survey?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the desk move delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,intermediate,part2|why
part2,Where is the product demo?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the lunch order start?,Next Monday.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the webinar link?,Taro will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,intermediate,part2|who
part2,How can I access the payment form?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the repair ticket delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the staff meeting?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,intermediate,part2|where
part2,When does the visitor pass start?,Later today.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the delivery notice?,Ivy will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the room change?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,intermediate,part2|how
part2,Why was the email draft delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the tax document?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the project plan start?,Before the trip.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",intermediate,part2|when
part2,Who will handle the supply order?,Ryan will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the phone list?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the market memo delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,intermediate,part2|why
part2,Where is the shift calendar?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the policy update start?,Tomorrow morning.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the travel request?,Aiko will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,intermediate,part2|who
part2,How can I access the event schedule?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the shipping label delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the video call?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,intermediate,part2|where
part2,When does the expense sheet start?,After lunch.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the branch map?,Emma will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the service form?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,intermediate,part2|how
part2,Why was the trial account delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the safety check?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the training video start?,By Friday.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",intermediate,part2|when
part2,Who will handle the guest list?,Taro will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the price quote?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the return request delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,intermediate,part2|why
part2,Where is the name badge?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,beginner,part2|where
part2,When does the parking permit start?,At 2:30 p.m.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the data file?,Ivy will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,intermediate,part2|who
part2,How can I access the survey result?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,beginner,part2|how
part2,Why was the workshop handout delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
part2,Where is the copy request?,It is in the shared folder.,I checked it yesterday.,The topic is important.,Please ask the reception desk.,A,Choose the response that answers where the item or event is.,intermediate,part2|where
part2,When does the meal voucher start?,Next week.,In the main lobby.,It was helpful.,Please ask the reception desk.,A,"The response gives a time, so it answers when.",beginner,part2|when
part2,Who will handle the software guide?,Ryan will handle it.,At the service counter.,The topic was updated.,Please ask the reception desk.,A,A person is required for a who question.,beginner,part2|who
part2,How can I access the booking code?,Use the link in the message.,It starts tomorrow.,"Yes, it was easy.",Please ask the reception desk.,A,The answer explains the method for access.,intermediate,part2|how
part2,Why was the office key delayed?,The address needed confirmation.,It arrived at the side door.,Please send it today.,Please ask the reception desk.,A,The response gives a reason for the delay.,beginner,part2|why
