part,difficulty,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,tags
part5,beginner,"Please contact the front desk if you _____ any questions.","have","has","having","had",A,"主語がyouなので現在形haveが適切です。","grammar,verb"
part5,beginner,"The report must be submitted _____ Friday afternoon.","by","on","in","at",A,"期限を表すbyが適切です。","grammar,prepositions"
part5,beginner,"Mr. Lee will attend the meeting _____ he returns from Osaka.","when","during","because of","while of",A,"節を導くwhenが自然です。","grammar,conjunctions"
part5,beginner,"The new office is located _____ the third floor.","on","in","at","to",A,"階を表す時はonを使います。","grammar,prepositions"
part5,beginner,"All visitors must wear _____ ID badges in the building.","their","theirs","them","they",A,"名詞ID badgesの前には所有格theirを使います。","grammar,pronouns"
part5,beginner,"The train to the airport leaves _____ 8:15.","at","on","in","for",A,"時刻の前にはatを使います。","grammar,time"
part5,beginner,"We need to order more paper because there is _____ left.","little","few","many","several",A,"不可算名詞paperにはlittleを使います。","grammar,quantifiers"
part5,beginner,"This printer is _____ than the old model.","quieter","quiet","quietest","more quiet",A,"thanがあるため比較級quieterが適切です。","grammar,comparatives"
part5,beginner,"The manager asked us to arrive _____ for the workshop.","early","earlier","earliest","earliness",A,"動詞arriveを修飾する副詞earlyが適切です。","grammar,adverbs"
part5,beginner,"Please _____ the form before you leave.","complete","completed","completing","completion",A,"命令文なので動詞の原形completeを使います。","grammar,imperatives"
part5,beginner,"The cafeteria is open _____ Monday to Friday.","from","between","during","over",A,"from A to Bの形です。","grammar,prepositions"
part5,beginner,"Ms. Gomez is responsible _____ employee training.","for","to","with","about",A,"be responsible forが正しい形です。","grammar,collocations"
part5,beginner,"The package arrived _____ this morning.","early","earliness","earliest","earlier than",A,"今朝早くを表す副詞earlyが適切です。","grammar,adverbs"
part5,beginner,"We are looking _____ a larger conference room.","for","to","at","by",A,"look forで探すという意味です。","grammar,phrasal-verbs"
part5,beginner,"The customer service desk is _____ the entrance.","near","nearly","nearby to","next",A,"入口の近くを表すnearが適切です。","grammar,prepositions"
part5,intermediate,"The seminar has been postponed _____ the speaker is ill.","because","due","despite","although",A,"後ろに節が続くためbecauseが適切です。","grammar,connectors"
part5,intermediate,"Employees are encouraged _____ public transportation.","to use","using","use","used",A,"be encouraged to doの形です。","grammar,infinitives"
part5,intermediate,"The sales figures were _____ higher than expected.","significantly","significant","significance","signify",A,"形容詞higherを修飾する副詞significantlyが適切です。","grammar,adverbs"
part5,intermediate,"If you need assistance, please speak to _____ at reception.","someone","any","each","another",A,"人を指すsomeoneが自然です。","grammar,pronouns"
part5,intermediate,"The contract will be reviewed _____ it is signed.","before","during","until of","within",A,"署名前に確認するためbeforeが適切です。","grammar,conjunctions"
part5,intermediate,"The marketing team is preparing a presentation _____ the new product.","about","between","onto","beside",A,"新製品についての発表なのでaboutが適切です。","grammar,prepositions"
part5,intermediate,"The hotel offers free breakfast to _____ guests.","all","every","each of","whole",A,"複数名詞guestsの前にallを使います。","grammar,determiners"
part5,intermediate,"Please make sure the doors are locked _____ leaving the office.","before","because","despite","unless",A,"退室前を表すbefore leavingが自然です。","grammar,gerunds"
part5,intermediate,"The invoice was sent to the client _____ email.","by","with","from","over",A,"手段を表すby emailが適切です。","grammar,prepositions"
part5,intermediate,"This guide explains how _____ the online booking system.","to use","using","use","used",A,"how to doの形です。","grammar,infinitives"
part5,intermediate,"The restaurant is known _____ its seafood dishes.","for","as","to","by",A,"be known forで有名であるという意味です。","grammar,collocations"
part5,intermediate,"The staff meeting, _____ was scheduled for Monday, has been canceled.","which","who","whose","what",A,"先行詞がmeetingなのでwhichが適切です。","grammar,relative-clauses"
part5,intermediate,"Several applicants were invited _____ a second interview.","for","to","at","with",A,"interviewの目的にはforが自然です。","grammar,prepositions"
part5,intermediate,"The museum is closed today _____ maintenance work.","due to","because","although","while",A,"名詞句maintenance workの前にはdue toを使います。","grammar,connectors"
part5,intermediate,"Our company plans _____ a new branch next year.","to open","opening","open","opened",A,"plan to doの形です。","grammar,infinitives"
part5,intermediate,"The instructions should be read _____ before installation.","carefully","careful","care","caring",A,"動詞readを修飾する副詞carefullyが適切です。","grammar,adverbs"
part5,intermediate,"The shop provides a discount for customers _____ pay in cash.","who","which","what","whose",A,"customersを説明する関係代名詞whoが適切です。","grammar,relative-clauses"
part5,intermediate,"The new schedule is more convenient _____ the previous one.","than","as","to","from",A,"比較級more convenientにはthanを使います。","grammar,comparatives"
part5,intermediate,"All equipment must be returned _____ the storage room after use.","to","in","at","by",A,"返却先を表すtoが適切です。","grammar,prepositions"
part5,intermediate,"The airport shuttle runs _____ thirty minutes.","every","each","all","whole",A,"every thirty minutesで30分ごとです。","grammar,time-expressions"
part5,intermediate,"The presentation was delayed because the projector was not working _____.","properly","proper","property","propose",A,"動作を修飾する副詞properlyが適切です。","grammar,adverbs"
part5,advanced,"Had the shipment arrived earlier, we _____ the order yesterday.","would have completed","will complete","completed","would complete",A,"仮定法過去完了ではwould have過去分詞を使います。","grammar,conditionals"
part5,advanced,"The candidate _____ experience best matches the position will be contacted.","whose","who","which","what",A,"experienceを所有する関係を表すwhoseが適切です。","grammar,relative-clauses"
part5,advanced,"The proposal requires _____ review before it can be approved.","further","farther","farthest","furthest of",A,"追加の検討を表すfurther reviewが自然です。","grammar,vocabulary"
part5,advanced,"No sooner had the store opened _____ customers began lining up.","than","when","then","that",A,"no sooner had...thanの倒置表現です。","grammar,inversion"
part5,advanced,"The policy applies to all employees, _____ of their department.","regardless","despite","although","nevertheless",A,"regardless ofの形です。","grammar,connectors"
part5,advanced,"The manager insisted that the report _____ revised immediately.","be","is","was","being",A,"insist that節では原形beを使う仮定法現在です。","grammar,subjunctive"
part5,advanced,"The building, _____ entrance faces the station, is easy to find.","whose","which","who","that",A,"entranceを所有する関係を表すwhoseが適切です。","grammar,relative-clauses"
part5,advanced,"Only after the inspection _____ the equipment be used.","can","will","has","did",A,"Only afterで始まる倒置では助動詞canが前に出ます。","grammar,inversion"
part5,advanced,"The revised manual is intended _____ new employees understand the process.","to help","helping","helped","helps",A,"be intended to doの形です。","grammar,infinitives"
part5,advanced,"The supplier failed to deliver the parts _____ the agreed deadline.","by","until of","during","through",A,"期限までにという意味でbyが適切です。","grammar,prepositions"
part5,advanced,"The more detailed the plan is, _____ it will be to estimate costs.","the easier","easier","easiest","the easiest of",A,"the 比較級, the 比較級の構文です。","grammar,comparatives"
part5,advanced,"The company is seeking ways to reduce expenses without _____ quality.","compromising","compromise","compromised","to compromise",A,"withoutの後は動名詞compromisingです。","grammar,gerunds"
part5,advanced,"The product launch was postponed pending _____ approval from the legal team.","final","finally","finalize","finality",A,"名詞approvalを修飾する形容詞finalが適切です。","grammar,word-form"
part5,advanced,"The consultant recommended that the team _____ the survey results again.","review","reviews","reviewed","reviewing",A,"recommend that節では動詞の原形reviewを使います。","grammar,subjunctive"
